symbol,industry,beta,last_price,rs_1m
FORCEMOT.NS,Automobile and Auto Components,2.23,21585.0,-1.39
JBMA.NS,Automobile and Auto Components,1.99,567.25,8.58
MOTHERSON.NS,Automobile and Auto Components,1.99,111.59,-4.89
NAM-INDIA.NS,Financial Services,1.97,838.9,-1.64
OLECTRA.NS,Automobile and Auto Components,1.93,1097.4,17.65
JMFINANCIL.NS,Financial Services,1.92,123.16,-1.63
SHRIRAMFIN.NS,Financial Services,1.88,938.6,-1.82
BANKINDIA.NS,Financial Services,1.84,150.49,-1.84
CDSL.NS,Financial Services,1.76,1190.8,-0.62
CUB.NS,Financial Services,1.76,241.35,-5.99
INDIANB.NS,Financial Services,1.75,878.65,3.94
MAHABANK.NS,Financial Services,1.69,65.49,5.49
JKTYRE.NS,Automobile and Auto Components,1.67,417.25,-15.99
BHARATFORG.NS,Automobile and Auto Components,1.66,1711.5,6.54
SONACOMS.NS,Automobile and Auto Components,1.6,506.25,5.06
ANGELONE.NS,Financial Services,1.58,231.32,1.37
KARURVYSYA.NS,Financial Services,1.58,263.9,-8.21
LTF.NS,Financial Services,1.56,261.2,-2.24
M&M.NS,Automobile and Auto Components,1.55,3066.1,-1.46
PFC.NS,Financial Services,1.55,412.85,10.99
TMPV.NS,Automobile and Auto Components,1.54,314.1,-7.2
POONAWALLA.NS,Financial Services,1.53,393.6,-7.91
ABCAPITAL.NS,Financial Services,1.51,311.25,-0.41
CHOICEIN.NS,Financial Services,1.49,614.9,-13.73
UNIONBANK.NS,Financial Services,1.49,177.63,2.92
J&KBANK.NS,Financial Services,1.47,118.82,24.25
M&MFIN.NS,Financial Services,1.47,308.35,-9.53
MOTILALOFS.NS,Financial Services,1.46,662.6,-4.52
PAYTM.NS,Financial Services,1.46,1054.3,1.22
AIIL.NS,Financial Services,1.44,492.2,6.14
BSE.NS,Financial Services,1.44,2806.1,11.55
CAMS.NS,Financial Services,1.44,640.7,-1.98
EICHERMOT.NS,Automobile and Auto Components,1.43,6909.0,-3.32
ABSLAMC.NS,Financial Services,1.42,944.65,14.6
BANKBARODA.NS,Financial Services,1.42,279.95,1.15
TVSMOTOR.NS,Automobile and Auto Components,1.42,3462.2,-0.41
AXISBANK.NS,Financial Services,1.41,1203.9,-2.06
JIOFIN.NS,Financial Services,1.41,239.3,1.73
KFINTECH.NS,Financial Services,1.4,914.55,-0.78
SCHAEFFLER.NS,Automobile and Auto Components,1.39,4186.5,18.27
UNOMINDA.NS,Automobile and Auto Components,1.39,1067.0,-1.18
APTUS.NS,Financial Services,1.37,208.83,-5.45
CHOLAFIN.NS,Financial Services,1.37,1440.5,-4.89
TIINDIA.NS,Automobile and Auto Components,1.37,2537.3,11.16
BAJFINANCE.NS,Financial Services,1.36,830.55,-9.15
HEROMOTOCO.NS,Automobile and Auto Components,1.36,5275.5,6.63
RECLTD.NS,Financial Services,1.36,330.5,3.58
HUDCO.NS,Financial Services,1.33,172.48,-2.3
BAJAJFINSV.NS,Financial Services,1.32,1710.3,-6.69
PNB.NS,Financial Services,1.32,111.53,-2.36
